IP地址,端口,TLS,数据中心,地区,城市,国家,网络延迟,下载速度
47.74.43.95,2087,true,HKG,Asia Pacific,Hong Kong,HK,150 ms,11876 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,US,148 ms,11341 kB/s
47.74.12.139,2096,true,HKG,Asia Pacific,Hong Kong,HK,160 ms,11305 kB/s
47.74.27.211,2096,true,HKG,Asia Pacific,Hong Kong,HK,157 ms,11187 kB/s
8.222.188.56,2096,true,SIN,Asia Pacific,Singapore,SG,189 ms,11144 kB/s
47.74.27.211,2083,true,HKG,Asia Pacific,Hong Kong,HK,158 ms,11055 kB/s
8.222.169.182,2087,true,SIN,Asia Pacific,Singapore,SG,207 ms,10989 kB/s
8.219.13.143,2087,true,SIN,Asia Pacific,Singapore,SG,199 ms,10957 kB/s
8.222.249.190,8443,true,SIN,Asia Pacific,Singapore,SG,193 ms,10944 kB/s
8.222.249.190,2083,true,SIN,Asia Pacific,Singapore,SG,187 ms,10916 kB/s
47.74.13.94,2083,true,NRT,Asia Pacific,Tokyo,JP,68 ms,10897 kB/s
47.245.113.117,2053,true,SIN,Asia Pacific,Singapore,SG,189 ms,10829 kB/s
8.219.213.133,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,10748 kB/s
192.9.135.122,8443,true,SJC,North America,San Jose,US,141 ms,10621 kB/s
8.219.58.64,8443,true,SIN,Asia Pacific,Singapore,SG,187 ms,10539 kB/s
138.2.80.183,2053,true,SIN,Asia Pacific,Singapore,SG,212 ms,10399 kB/s
158.178.246.169,8443,true,SIN,Asia Pacific,Singapore,SG,206 ms,10314 kB/s
8.222.160.176,2053,true,SIN,Asia Pacific,Singapore,SG,224 ms,10245 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,SG,216 ms,10199 kB/s
8.222.221.109,2083,true,SIN,Asia Pacific,Singapore,SG,200 ms,10186 kB/s
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,SG,206 ms,10176 kB/s
8.222.162.45,2053,true,SIN,Asia Pacific,Singapore,SG,204 ms,10162 kB/s
8.222.168.155,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,10073 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,US,200 ms,10060 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,SG,199 ms,10046 kB/s
138.2.80.183,2083,true,SIN,Asia Pacific,Singapore,SG,214 ms,10032 kB/s
8.222.147.203,2083,true,SIN,Asia Pacific,Singapore,SG,194 ms,9966 kB/s
129.150.63.96,2096,true,SIN,Asia Pacific,Singapore,SG,209 ms,9881 kB/s
8.222.137.178,2096,true,SIN,Asia Pacific,Singapore,SG,203 ms,9875 kB/s
8.222.146.222,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,9806 kB/s
158.178.246.169,2053,true,SIN,Asia Pacific,Singapore,SG,204 ms,9736 kB/s
8.219.77.91,2096,true,SIN,Asia Pacific,Singapore,SG,206 ms,9732 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,SG,208 ms,9706 kB/s
168.138.184.64,8443,true,SIN,Asia Pacific,Singapore,SG,213 ms,9633 kB/s
168.138.185.28,2096,true,SIN,Asia Pacific,Singapore,SG,204 ms,9624 kB/s
138.2.104.2,2083,true,SIN,Asia Pacific,Singapore,SG,214 ms,9620 kB/s
8.219.6.187,8443,true,SIN,Asia Pacific,Singapore,SG,187 ms,9605 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,SG,187 ms,9561 kB/s
129.150.63.96,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,9547 kB/s
158.178.246.169,2087,true,SIN,Asia Pacific,Singapore,SG,204 ms,9533 kB/s
108.165.169.221,8443,true,YVR,North America,Vancouver,CA,137 ms,9505 kB/s
158.178.241.45,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,9499 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,SG,191 ms,9445 kB/s
168.138.184.64,2053,true,SIN,Asia Pacific,Singapore,SG,209 ms,9323 kB/s
158.178.242.56,2096,true,SIN,Asia Pacific,Singapore,SG,211 ms,9307 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,US,194 ms,9263 kB/s
168.138.185.28,2083,true,SIN,Asia Pacific,Singapore,SG,210 ms,9197 kB/s
47.243.183.127,443,true,HKG,Asia Pacific,Hong Kong,HK,33 ms,9139 kB/s
8.219.43.243,8443,true,SIN,Asia Pacific,Singapore,SG,206 ms,9133 kB/s
158.178.242.56,2083,true,SIN,Asia Pacific,Singapore,SG,219 ms,9112 kB/s
47.243.183.127,2053,true,HKG,Asia Pacific,Hong Kong,HK,34 ms,8987 kB/s
47.74.12.139,2053,true,HKG,Asia Pacific,Hong Kong,HK,155 ms,8891 kB/s
8.219.222.8,2053,true,SIN,Asia Pacific,Singapore,SG,198 ms,8861 kB/s
152.69.199.70,8443,true,KIX,Asia Pacific,Osaka,JP,145 ms,8837 kB/s
129.150.63.96,2087,true,SIN,Asia Pacific,Singapore,SG,221 ms,8742 kB/s
138.2.80.183,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,8721 kB/s
168.138.185.28,2087,true,SIN,Asia Pacific,Singapore,SG,210 ms,8700 kB/s
168.138.184.64,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,8658 kB/s
8.222.184.198,2083,true,SIN,Asia Pacific,Singapore,SG,186 ms,8628 kB/s
158.178.241.45,2083,true,SIN,Asia Pacific,Singapore,SG,227 ms,8558 kB/s
168.138.161.0,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,8537 kB/s
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,8468 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,SG,212 ms,8349 kB/s
138.2.80.183,8443,true,SIN,Asia Pacific,Singapore,SG,205 ms,8103 kB/s
8.219.51.211,2087,true,SIN,Asia Pacific,Singapore,SG,194 ms,8099 kB/s
8.222.152.165,443,true,SIN,Asia Pacific,Singapore,SG,206 ms,8000 kB/s
8.219.43.243,2087,true,SIN,Asia Pacific,Singapore,SG,187 ms,7995 kB/s
8.219.51.211,2053,true,SIN,Asia Pacific,Singapore,SG,213 ms,7962 kB/s
193.123.94.216,2087,true,JIB,Africa,Djibouti,DJ,215 ms,7906 kB/s
129.150.63.96,2083,true,SIN,Asia Pacific,Singapore,SG,217 ms,7860 kB/s
8.222.219.252,2083,true,SIN,Asia Pacific,Singapore,SG,199 ms,7756 kB/s
138.2.36.157,8443,true,KIX,Asia Pacific,Osaka,JP,160 ms,7647 kB/s
47.74.5.150,2096,true,SIN,Asia Pacific,Singapore,SG,147 ms,7596 kB/s
8.222.168.155,8443,true,SIN,Asia Pacific,Singapore,SG,215 ms,7549 kB/s
168.138.185.28,8443,true,SIN,Asia Pacific,Singapore,SG,217 ms,7524 kB/s
8.219.93.85,2087,true,SIN,Asia Pacific,Singapore,SG,190 ms,7521 kB/s
8.222.155.242,2096,true,SIN,Asia Pacific,Singapore,SG,188 ms,7353 kB/s
8.222.174.108,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,7311 kB/s
143.47.241.26,443,true,FRA,Europe,Frankfurt,DE,236 ms,7291 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,7270 kB/s
47.245.12.38,2087,true,HKG,Asia Pacific,Hong Kong,HK,161 ms,7255 kB/s
47.245.52.165,2083,true,HKG,Asia Pacific,Hong Kong,HK,159 ms,7228 kB/s
8.219.213.133,8443,true,SIN,Asia Pacific,Singapore,SG,197 ms,7220 kB/s
8.219.253.185,2087,true,SIN,Asia Pacific,Singapore,SG,197 ms,7206 kB/s
192.18.145.19,2096,true,YYZ,North America,Toronto,CA,196 ms,7176 kB/s
141.147.69.195,443,true,FRA,Europe,Frankfurt,DE,236 ms,7067 kB/s
144.24.167.149,443,true,FRA,Europe,Frankfurt,DE,242 ms,7058 kB/s
130.61.205.141,443,true,FRA,Europe,Frankfurt,DE,242 ms,7040 kB/s
144.21.57.92,443,true,FRA,Europe,Frankfurt,DE,248 ms,7013 kB/s
8.222.152.165,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,7012 kB/s
8.222.137.178,2053,true,SIN,Asia Pacific,Singapore,SG,181 ms,6991 kB/s
8.222.144.50,2083,true,SIN,Asia Pacific,Singapore,SG,187 ms,6903 kB/s
138.2.104.2,2087,true,SIN,Asia Pacific,Singapore,SG,223 ms,6831 kB/s
47.74.13.94,2096,true,NRT,Asia Pacific,Tokyo,JP,67 ms,6726 kB/s
8.217.193.25,2096,true,HKG,Asia Pacific,Hong Kong,HK,34 ms,6662 kB/s
8.222.147.203,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,6517 kB/s
47.74.43.95,2096,true,HKG,Asia Pacific,Hong Kong,HK,154 ms,6494 kB/s
8.222.131.102,2053,true,SIN,Asia Pacific,Singapore,SG,192 ms,6493 kB/s
158.178.242.5,2053,true,SIN,Asia Pacific,Singapore,SG,209 ms,6446 kB/s
158.178.241.45,8443,true,SIN,Asia Pacific,Singapore,SG,210 ms,6402 kB/s
141.144.248.59,443,true,FRA,Europe,Frankfurt,DE,261 ms,6383 kB/s
8.219.63.193,8443,true,SIN,Asia Pacific,Singapore,SG,195 ms,6302 kB/s
8.219.58.64,2083,true,SIN,Asia Pacific,Singapore,SG,192 ms,6296 kB/s
141.147.72.51,443,true,FRA,Europe,Frankfurt,DE,268 ms,6259 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,SG,194 ms,6247 kB/s
8.222.145.110,2096,true,SIN,Asia Pacific,Singapore,SG,197 ms,6204 kB/s
132.226.130.11,443,true,FRA,Europe,Frankfurt,DE,242 ms,6192 kB/s
8.218.188.129,8443,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,6145 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,SG,192 ms,6032 kB/s
8.222.140.185,2083,true,SIN,Asia Pacific,Singapore,SG,184 ms,6007 kB/s
8.219.43.243,2053,true,SIN,Asia Pacific,Singapore,SG,188 ms,5985 kB/s
8.222.137.178,8443,true,SIN,Asia Pacific,Singapore,SG,201 ms,5978 kB/s
8.222.147.203,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,5948 kB/s
152.70.49.208,443,true,FRA,Europe,Frankfurt,DE,254 ms,5857 kB/s
141.147.13.115,443,true,SIN,Asia Pacific,Singapore,SG,235 ms,5837 kB/s
8.219.174.213,2096,true,SIN,Asia Pacific,Singapore,SG,211 ms,5819 kB/s
8.222.131.102,2087,true,SIN,Asia Pacific,Singapore,SG,185 ms,5747 kB/s
150.230.212.9,2053,true,NRT,Asia Pacific,Tokyo,JP,102 ms,5731 kB/s
8.219.60.130,2053,true,SIN,Asia Pacific,Singapore,SG,186 ms,5719 kB/s
8.219.178.225,2096,true,SIN,Asia Pacific,Singapore,SG,213 ms,5698 kB/s
8.219.134.117,2083,true,SIN,Asia Pacific,Singapore,SG,227 ms,5614 kB/s
8.219.210.64,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,5583 kB/s
138.2.160.118,443,true,FRA,Europe,Frankfurt,DE,265 ms,5548 kB/s
158.101.206.70,2053,true,AMS,Europe,Amsterdam,NL,248 ms,5544 kB/s
141.147.110.38,443,true,FRA,Europe,Frankfurt,DE,266 ms,5540 kB/s
8.222.188.56,2087,true,SIN,Asia Pacific,Singapore,SG,183 ms,5445 kB/s
138.2.158.149,443,true,FRA,Europe,Frankfurt,DE,249 ms,5425 kB/s
8.219.99.169,8443,true,SIN,Asia Pacific,Singapore,SG,191 ms,5346 kB/s
155.248.174.71,2096,true,NRT,Asia Pacific,Tokyo,JP,104 ms,5315 kB/s
8.219.111.175,2096,true,SIN,Asia Pacific,Singapore,SG,230 ms,5311 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,US,181 ms,5309 kB/s
8.219.184.92,2096,true,SIN,Asia Pacific,Singapore,SG,198 ms,5257 kB/s
8.219.249.38,2083,true,SIN,Asia Pacific,Singapore,SG,196 ms,5226 kB/s
8.219.213.84,2053,true,SIN,Asia Pacific,Singapore,SG,193 ms,5192 kB/s
130.162.41.103,443,true,FRA,Europe,Frankfurt,DE,231 ms,5165 kB/s
144.21.32.193,2053,true,AMS,Europe,Amsterdam,NL,273 ms,5142 kB/s
141.147.164.54,8443,true,NRT,Asia Pacific,Tokyo,JP,99 ms,5133 kB/s
8.222.244.192,8443,true,SIN,Asia Pacific,Singapore,SG,228 ms,5118 kB/s
144.21.35.104,443,true,FRA,Europe,Frankfurt,DE,255 ms,5069 kB/s
8.222.182.10,8443,true,SIN,Asia Pacific,Singapore,SG,218 ms,5062 kB/s
8.222.162.45,8443,true,SIN,Asia Pacific,Singapore,SG,192 ms,5006 kB/s
150.230.214.218,8443,true,HKG,Asia Pacific,Hong Kong,HK,169 ms,5002 kB/s
146.56.151.87,2087,true,ICN,Asia Pacific,Seoul,KR,74 ms,4997 kB/s
8.219.184.92,2053,true,SIN,Asia Pacific,Singapore,SG,191 ms,4989 kB/s
130.162.161.67,443,true,FRA,Europe,Frankfurt,DE,255 ms,4929 kB/s
8.219.186.189,443,true,SIN,Asia Pacific,Singapore,SG,204 ms,4918 kB/s
8.222.219.252,2087,true,SIN,Asia Pacific,Singapore,SG,191 ms,4916 kB/s
130.162.248.216,443,true,FRA,Europe,Frankfurt,DE,231 ms,4905 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,SG,194 ms,4888 kB/s
47.74.49.62,2096,true,HKG,Asia Pacific,Hong Kong,HK,158 ms,4863 kB/s
138.3.223.70,8443,true,NRT,Asia Pacific,Tokyo,JP,95 ms,4857 kB/s
8.219.101.72,2083,true,SIN,Asia Pacific,Singapore,SG,203 ms,4849 kB/s
64.110.103.69,443,true,KIX,Asia Pacific,Osaka,JP,143 ms,4834 kB/s
8.219.173.233,8443,true,SIN,Asia Pacific,Singapore,SG,207 ms,4823 kB/s
8.222.160.176,2096,true,SIN,Asia Pacific,Singapore,SG,195 ms,4812 kB/s
152.70.52.198,443,true,FRA,Europe,Frankfurt,DE,270 ms,4791 kB/s
140.238.33.94,2096,true,NRT,Asia Pacific,Tokyo,JP,96 ms,4743 kB/s
8.222.137.166,8443,true,SIN,Asia Pacific,Singapore,SG,184 ms,4737 kB/s
8.219.213.84,8443,true,SIN,Asia Pacific,Singapore,SG,187 ms,4723 kB/s
138.3.223.70,2053,true,NRT,Asia Pacific,Tokyo,JP,99 ms,4715 kB/s
47.245.30.65,2096,true,HKG,Asia Pacific,Hong Kong,HK,157 ms,4706 kB/s
132.145.123.14,2053,true,NRT,Asia Pacific,Tokyo,JP,97 ms,4706 kB/s
168.138.209.244,2053,true,NRT,Asia Pacific,Tokyo,JP,102 ms,4674 kB/s
152.70.57.69,443,true,FRA,Europe,Frankfurt,DE,244 ms,4661 kB/s
138.2.146.197,443,true,FRA,Europe,Frankfurt,DE,231 ms,4654 kB/s
141.147.37.14,443,true,FRA,Europe,Frankfurt,DE,251 ms,4644 kB/s
152.70.234.188,443,true,HKG,Asia Pacific,Hong Kong,HK,75 ms,4613 kB/s
47.242.59.216,2087,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,4606 kB/s
8.219.78.1,2096,true,SIN,Asia Pacific,Singapore,SG,195 ms,4579 kB/s
8.219.213.84,2096,true,SIN,Asia Pacific,Singapore,SG,201 ms,4555 kB/s
130.61.206.100,443,true,FRA,Europe,Frankfurt,DE,233 ms,4548 kB/s
8.219.222.98,2096,true,SIN,Asia Pacific,Singapore,SG,203 ms,4529 kB/s
132.145.54.84,8443,true,LHR,Europe,London,GB,223 ms,4526 kB/s
141.147.164.153,2096,true,NRT,Asia Pacific,Tokyo,JP,95 ms,4509 kB/s
8.222.136.196,8443,true,SIN,Asia Pacific,Singapore,SG,205 ms,4500 kB/s
8.222.224.163,2083,true,SIN,Asia Pacific,Singapore,SG,188 ms,4495 kB/s
158.101.137.96,2083,true,NRT,Asia Pacific,Tokyo,JP,101 ms,4492 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,4488 kB/s
8.222.160.61,2053,true,SIN,Asia Pacific,Singapore,SG,189 ms,4475 kB/s
8.222.229.102,8443,true,SIN,Asia Pacific,Singapore,SG,199 ms,4474 kB/s
129.146.17.9,443,true,LAX,North America,Los Angeles,US,182 ms,4468 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,SG,223 ms,4465 kB/s
193.122.197.111,443,true,IAD,North America,Ashburn,US,197 ms,4462 kB/s
141.147.169.195,2096,true,NRT,Asia Pacific,Tokyo,JP,99 ms,4452 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,DE,245 ms,4447 kB/s
8.222.128.131,2087,true,SIN,Asia Pacific,Singapore,SG,207 ms,4445 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,DE,244 ms,4429 kB/s
8.222.128.131,2083,true,SIN,Asia Pacific,Singapore,SG,189 ms,4427 kB/s
8.219.228.186,2083,true,SIN,Asia Pacific,Singapore,SG,194 ms,4411 kB/s
8.219.253.114,2087,true,SIN,Asia Pacific,Singapore,SG,214 ms,4404 kB/s
131.186.35.189,8443,true,NRT,Asia Pacific,Tokyo,JP,100 ms,4395 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,SG,187 ms,4380 kB/s
150.230.20.85,443,true,FRA,Europe,Frankfurt,DE,250 ms,4380 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,SG,197 ms,4316 kB/s
8.222.129.32,8443,true,SIN,Asia Pacific,Singapore,SG,204 ms,4307 kB/s
47.74.16.67,8443,true,HKG,Asia Pacific,Hong Kong,HK,153 ms,4273 kB/s
47.243.230.93,2053,true,HKG,Asia Pacific,Hong Kong,HK,33 ms,4270 kB/s
8.222.221.109,2096,true,SIN,Asia Pacific,Singapore,SG,216 ms,4257 kB/s
168.138.185.28,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,4221 kB/s
138.2.19.122,2053,true,HKG,Asia Pacific,Hong Kong,HK,170 ms,4219 kB/s
8.219.93.85,2053,true,SIN,Asia Pacific,Singapore,SG,213 ms,4209 kB/s
47.245.52.165,8443,true,HKG,Asia Pacific,Hong Kong,HK,160 ms,4200 kB/s
8.219.170.58,2087,true,SIN,Asia Pacific,Singapore,SG,197 ms,4175 kB/s
47.74.49.62,2087,true,HKG,Asia Pacific,Hong Kong,HK,157 ms,4172 kB/s
141.147.167.44,2053,true,NRT,Asia Pacific,Tokyo,JP,95 ms,4164 kB/s
47.245.52.165,2096,true,HKG,Asia Pacific,Hong Kong,HK,159 ms,4161 kB/s
8.219.253.185,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,4133 kB/s
8.219.178.225,2083,true,SIN,Asia Pacific,Singapore,SG,208 ms,4107 kB/s
168.138.198.202,2053,true,NRT,Asia Pacific,Tokyo,JP,100 ms,4107 kB/s
8.219.139.13,8443,true,SIN,Asia Pacific,Singapore,SG,204 ms,4102 kB/s
8.222.131.102,2083,true,SIN,Asia Pacific,Singapore,SG,197 ms,4101 kB/s
8.219.101.138,2096,true,SIN,Asia Pacific,Singapore,SG,195 ms,4041 kB/s
8.222.137.166,2053,true,SIN,Asia Pacific,Singapore,SG,208 ms,4038 kB/s
141.147.164.153,2083,true,NRT,Asia Pacific,Tokyo,JP,106 ms,4013 kB/s
8.219.228.186,2087,true,SIN,Asia Pacific,Singapore,SG,187 ms,4007 kB/s
8.222.188.56,2083,true,SIN,Asia Pacific,Singapore,SG,205 ms,4006 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,SG,198 ms,3992 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,SG,195 ms,3983 kB/s
8.222.146.222,2083,true,SIN,Asia Pacific,Singapore,SG,207 ms,3974 kB/s
152.70.172.136,443,true,FRA,Europe,Frankfurt,DE,245 ms,3961 kB/s
158.101.205.28,443,true,FRA,Europe,Frankfurt,DE,238 ms,3952 kB/s
8.219.115.215,8443,true,SIN,Asia Pacific,Singapore,SG,196 ms,3951 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,SG,196 ms,3951 kB/s
155.248.182.244,2083,true,HKG,Asia Pacific,Hong Kong,HK,168 ms,3907 kB/s
8.222.180.86,2083,true,SIN,Asia Pacific,Singapore,SG,197 ms,3873 kB/s
130.162.188.186,443,true,AMS,Europe,Amsterdam,NL,262 ms,3837 kB/s
8.222.184.198,2096,true,SIN,Asia Pacific,Singapore,SG,207 ms,3835 kB/s
141.148.245.169,443,true,FRA,Europe,Frankfurt,DE,239 ms,3820 kB/s
8.219.112.75,2053,true,SIN,Asia Pacific,Singapore,SG,225 ms,3810 kB/s
8.219.142.229,2083,true,SIN,Asia Pacific,Singapore,SG,187 ms,3809 kB/s
8.222.136.196,2096,true,SIN,Asia Pacific,Singapore,SG,190 ms,3801 kB/s
138.2.161.135,443,true,FRA,Europe,Frankfurt,DE,259 ms,3770 kB/s
8.219.174.213,2083,true,SIN,Asia Pacific,Singapore,SG,192 ms,3745 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,DE,222 ms,3710 kB/s
8.219.248.170,2083,true,SIN,Asia Pacific,Singapore,SG,206 ms,3706 kB/s
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,SG,214 ms,3690 kB/s
47.245.12.38,2053,true,HKG,Asia Pacific,Hong Kong,HK,156 ms,3689 kB/s
47.242.232.14,2087,true,HKG,Asia Pacific,Hong Kong,HK,36 ms,3683 kB/s
8.222.240.47,8443,true,SIN,Asia Pacific,Singapore,SG,192 ms,3661 kB/s
168.138.208.17,8443,true,NRT,Asia Pacific,Tokyo,JP,101 ms,3658 kB/s
47.245.108.213,2083,true,SIN,Asia Pacific,Singapore,SG,200 ms,3652 kB/s
8.222.221.109,2087,true,SIN,Asia Pacific,Singapore,SG,190 ms,3649 kB/s
168.138.176.166,443,true,SIN,Asia Pacific,Singapore,SG,211 ms,3646 kB/s
8.222.227.191,2053,true,SIN,Asia Pacific,Singapore,SG,192 ms,3643 kB/s
168.138.202.145,2096,true,NRT,Asia Pacific,Tokyo,JP,103 ms,3600 kB/s
143.47.243.144,2053,true,LHR,Europe,London,GB,247 ms,3594 kB/s
8.222.240.47,2083,true,SIN,Asia Pacific,Singapore,SG,224 ms,3593 kB/s
168.138.202.169,2087,true,NRT,Asia Pacific,Tokyo,JP,98 ms,3589 kB/s
8.222.140.185,8443,true,SIN,Asia Pacific,Singapore,SG,192 ms,3560 kB/s
130.162.184.255,443,true,FRA,Europe,Frankfurt,DE,240 ms,3559 kB/s
141.144.198.161,443,true,FRA,Europe,Frankfurt,DE,265 ms,3547 kB/s
8.219.253.185,2083,true,SIN,Asia Pacific,Singapore,SG,185 ms,3535 kB/s
47.245.107.174,8443,true,SIN,Asia Pacific,Singapore,SG,196 ms,3516 kB/s
138.3.212.144,2083,true,HKG,Asia Pacific,Hong Kong,HK,165 ms,3495 kB/s
132.145.125.165,2096,true,NRT,Asia Pacific,Tokyo,JP,97 ms,3493 kB/s
138.3.250.117,443,true,FRA,Europe,Frankfurt,DE,264 ms,3472 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,SG,207 ms,3466 kB/s
141.144.254.151,443,true,FRA,Europe,Frankfurt,DE,236 ms,3461 kB/s
8.222.154.227,2096,true,SIN,Asia Pacific,Singapore,SG,191 ms,3435 kB/s
143.47.254.66,443,true,FRA,Europe,Frankfurt,DE,227 ms,3427 kB/s
8.222.167.8,2083,true,SIN,Asia Pacific,Singapore,SG,198 ms,3407 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,SG,192 ms,3391 kB/s
150.230.202.232,2087,true,NRT,Asia Pacific,Tokyo,JP,108 ms,3358 kB/s
8.219.13.143,2053,true,SIN,Asia Pacific,Singapore,SG,190 ms,3358 kB/s
8.219.142.229,2087,true,SIN,Asia Pacific,Singapore,SG,207 ms,3350 kB/s
8.222.129.32,2053,true,SIN,Asia Pacific,Singapore,SG,207 ms,3334 kB/s
8.222.159.252,8443,true,SIN,Asia Pacific,Singapore,SG,211 ms,3300 kB/s
8.219.147.58,2087,true,SIN,Asia Pacific,Singapore,SG,203 ms,3292 kB/s
8.219.111.175,2083,true,SIN,Asia Pacific,Singapore,SG,190 ms,3271 kB/s
8.222.252.150,2087,true,SIN,Asia Pacific,Singapore,SG,191 ms,3268 kB/s
140.83.34.230,8443,true,NRT,Asia Pacific,Tokyo,JP,98 ms,3260 kB/s
193.122.48.156,443,true,CDG,Europe,Paris,FR,235 ms,3258 kB/s
8.219.99.169,2083,true,SIN,Asia Pacific,Singapore,SG,185 ms,3256 kB/s
129.154.254.254,8443,true,BOM,Asia Pacific,Mumbai,IN,259 ms,3235 kB/s
138.2.9.66,8443,true,NRT,Asia Pacific,Tokyo,JP,103 ms,3223 kB/s
138.2.162.182,443,true,FRA,Europe,Frankfurt,DE,261 ms,3218 kB/s
143.47.183.118,443,true,FRA,Europe,Frankfurt,DE,246 ms,3198 kB/s
8.219.115.215,2096,true,SIN,Asia Pacific,Singapore,SG,213 ms,3192 kB/s
47.91.2.5,2053,true,NRT,Asia Pacific,Tokyo,JP,65 ms,3160 kB/s
152.67.148.60,443,true,FRA,Europe,Frankfurt,DE,239 ms,3158 kB/s
8.222.190.225,2087,true,SIN,Asia Pacific,Singapore,SG,204 ms,3124 kB/s
8.219.253.18,2083,true,SIN,Asia Pacific,Singapore,SG,216 ms,3091 kB/s
141.148.237.94,443,true,FRA,Europe,Frankfurt,DE,237 ms,3084 kB/s
141.147.168.39,443,true,NRT,Asia Pacific,Tokyo,JP,112 ms,3073 kB/s
141.147.22.21,443,true,FRA,Europe,Frankfurt,DE,251 ms,3065 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,AU,279 ms,3036 kB/s
8.222.136.247,2053,true,SIN,Asia Pacific,Singapore,SG,218 ms,3025 kB/s
8.219.248.170,2053,true,SIN,Asia Pacific,Singapore,SG,211 ms,3017 kB/s
8.222.248.188,2053,true,SIN,Asia Pacific,Singapore,SG,184 ms,3003 kB/s
8.222.237.131,2096,true,SIN,Asia Pacific,Singapore,SG,209 ms,2998 kB/s
8.222.155.242,8443,true,SIN,Asia Pacific,Singapore,SG,207 ms,2994 kB/s
141.147.107.67,443,true,SIN,Asia Pacific,Singapore,SG,254 ms,2989 kB/s
141.147.169.131,2096,true,NRT,Asia Pacific,Tokyo,JP,98 ms,2987 kB/s
152.70.53.246,443,true,FRA,Europe,Frankfurt,DE,241 ms,2980 kB/s
150.230.202.232,8443,true,NRT,Asia Pacific,Tokyo,JP,102 ms,2977 kB/s
8.222.244.192,2096,true,SIN,Asia Pacific,Singapore,SG,214 ms,2973 kB/s
8.219.145.245,2096,true,SIN,Asia Pacific,Singapore,SG,198 ms,2966 kB/s
8.219.174.213,8443,true,SIN,Asia Pacific,Singapore,SG,202 ms,2960 kB/s
8.219.78.1,2087,true,SIN,Asia Pacific,Singapore,SG,186 ms,2950 kB/s
141.144.229.189,443,true,FRA,Europe,Frankfurt,DE,232 ms,2944 kB/s
152.70.55.119,443,true,FRA,Europe,Frankfurt,DE,228 ms,2893 kB/s
140.83.34.230,2083,true,NRT,Asia Pacific,Tokyo,JP,96 ms,2890 kB/s
8.222.162.45,2083,true,SIN,Asia Pacific,Singapore,SG,184 ms,2887 kB/s
8.219.100.168,2096,true,SIN,Asia Pacific,Singapore,SG,200 ms,2801 kB/s
8.222.221.197,2053,true,SIN,Asia Pacific,Singapore,SG,194 ms,2800 kB/s
8.222.221.109,2053,true,SIN,Asia Pacific,Singapore,SG,209 ms,2797 kB/s
